,Date,Specimen received date,Gauteng,Western Cape,DGauteng,DWestern Cape,LDLGauteng,LDLWestern Cape,LDLGautengNov12,GautengNov12,LDLGauteng-(Fil)Slope,GautengNov2,DLGautengNov2,LDLGautengNov2,LDGauteng,WCapenov19,LDLWCapeNov19
"1-1",2020-03-10,"10/03/2020 22:00",9,1,4,#N/A,-0.53139121170903503,#N/A,#N/A,-927930,#N/A,-926881,#N/A,#N/A,1.3862943611198906,-517366,#N/A
"2-1",2020-03-11,"11/03/2020 22:00",16,3,7,2,-0.55275214314729337,0.094047827616699095,#N/A,-927923,-0.021360939209586174,-926874,#N/A,#N/A,1.9459101490553132,-517364,#N/A
"3-1",2020-03-12,"12/03/2020 22:00",27,9,11,6,-0.6476994651739344,0.094047827616699095,#N/A,-927912,-0.058170369948527978,-926863,#N/A,#N/A,2.3978952727983707,-517358,#N/A
"4-1",2020-03-13,"13/03/2020 22:00",34,14,7,5,-1.4674017814141938,-0.81682385702039673,#N/A,-927905,-0.32486291268839373,-926856,#N/A,#N/A,1.9459101490553132,-517353,#N/A
"5-1",2020-03-14,"14/03/2020 22:00",40,17,6,3,-1.8169607947796118,-1.6390932449636106,#N/A,-927899,-0.34094206192785137,-926850,#N/A,#N/A,1.791759469228055,-517350,#N/A
"6-1",2020-03-15,"15/03/2020 22:00",57,19,17,2,-1.0379731340990714,-2.19619439216721,#N/A,-927882,-0.21568813627893191,-926833,#N/A,#N/A,2.8332133440562162,-517348,#N/A
"7-1",2020-03-16,"16/03/2020 22:00",139,52,82,33,-0.11493659216499787,0.0067816916725797049,#N/A,-927800,-0.019058767972679108,-926751,#N/A,#N/A,4.4067192472642533,-517315,#N/A
"8-1",2020-03-17,"17/03/2020 22:00",226,78,87,26,-0.72142101247789736,-0.90272045571788051,#N/A,-927713,-0.017276679853102529,-926664,#N/A,#N/A,4.4659081186545837,-517289,#N/A
"9-1",2020-03-18,"18/03/2020 22:00",334,109,108,31,-0.94005591579191694,-1.0947027741700355,#N/A,-927605,-0.025976378489583264,-926556,#N/A,#N/A,4.6821312271242199,-517258,#N/A
"10-1",2020-03-19,"19/03/2020 22:00",406,142,72,33,-1.633668277923839,-1.3299927628357999,#N/A,-927533,-0.074969289440947939,-926484,#N/A,#N/A,4.2766661190160553,-517225,#N/A
"11-1",2020-03-20,"20/03/2020 22:00",461,168,55,26,-2.0632148424006602,-1.7829766207935973,#N/A,-927478,-0.088135345948915977,-926429,#N/A,#N/A,4.0073331852324712,-517199,#N/A
"12-1",2020-03-21,"21/03/2020 22:00",506,190,45,22,-2.3736662904005628,-2.0950824839139628,#N/A,-927433,-0.098840243573730766,-926384,#N/A,#N/A,3.8066624897703196,-517177,#N/A
"13-1",2020-03-22,"22/03/2020 22:00",525,194,19,4,-3.3005851018429317,-3.8711648402256396,#N/A,-927414,-0.1898584983166608,-926365,#N/A,#N/A,2.9444389791664403,-517173,#N/A
"14-1",2020-03-23,"23/03/2020 22:00",585,239,60,45,-2.2236483692470141,-1.5673108840737873,#N/A,-927354,-0.21314701693796689,-926305,#N/A,#N/A,4.0943445622221004,-517128,#N/A
"15-1",2020-03-24,"24/03/2020 22:00",616,263,31,24,-2.9635532894808936,-2.3466364604319669,#N/A,-927323,-0.25511745990622625,-926274,#N/A,#N/A,3.4339872044851463,-517104,#N/A
"16-1",2020-03-25,"25/03/2020 22:00",633,287,17,24,-3.6036762284543706,-2.4380820322477113,#N/A,-927306,-0.2905558718743077,-926257,#N/A,#N/A,2.8332133440562162,-517080,#N/A
"17-1",2020-03-26,"26/03/2020 22:00",643,311,10,24,-4.1557327169986396,-2.5218524611768229,#N/A,-927296,-0.32163519675728752,-926247,#N/A,#N/A,2.3025850929940459,-517056,#N/A
"18-1",2020-03-27,"27/03/2020 22:00",664,332,21,21,-3.4377340326841002,-2.7281193958443448,#N/A,-927275,-0.27224069078907548,-926226,#N/A,#N/A,3.044522437723423,-517035,#N/A
